Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-d1mn,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,,ANSWER
11,1632180173711,20/09/2021 23:22:53,1632180173524,-4,20/09/2021 19:22:53,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,2,Screen_2,content,content_video,14276.699999988079,,,,,0,1,0,,,,,,training_intro,,
12,1632180174914,20/09/2021 23:22:54,1632180174746,-4,20/09/2021 19:22:54,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,3,Screen_3,advancementZone,response_keyboard_single,1200.699999988079,,,continue,1,1,0,0,,,,,,training_intro,,
13,1632180187839,20/09/2021 23:23:07,1632180187666,-4,20/09/2021 19:23:07,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,4,Screen_4,content,content_video,12905.600000023842,,,,,0,1,0,,,,,,training_intro,,
14,1632180187994,20/09/2021 23:23:07,1632180187798,-4,20/09/2021 19:23:07,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,5,Screen_5,advancementZone,response_keyboard_single,17.899999976158142,,,continue,1,1,0,0,,,,,,training_intro,,
15,1632180225438,20/09/2021 23:23:45,1632180225262,-4,20/09/2021 19:23:45,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,1,train_2_1_1,content,content_video,37431.700000047684,,,,,0,1,0,,,,,,training,,
16,1632180226128,20/09/2021 23:23:46,1632180225944,-4,20/09/2021 19:23:45,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,4,train_2_2_1,advancementZone,response_keyboard_single,668.1999999880791,,,found_event,1,1,0,0,,,,,,training,,
17,1632180237548,20/09/2021 23:23:57,1632180237466,-4,20/09/2021 19:23:57,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,23,Success,content,content_video,11407.700000047684,,,,,0,1,0,,,,,,training,,
18,1632180237878,20/09/2021 23:23:57,1632180237813,-4,20/09/2021 19:23:57,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,24,Success_2,advancementZone,response_keyboard_single,328.39999997615814,,,continue_experiment,1,1,0,0,,,,,,training,,
19,1632180257559,20/09/2021 23:24:17,1632180257474,-4,20/09/2021 19:24:17,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,25,Instructions_3_1,content,content_video,19648.399999976158,,,,,0,1,0,,,,,,training,,
20,1632180257731,20/09/2021 23:24:17,1632180257660,-4,20/09/2021 19:24:17,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,26,Instructions_3_2,Zone1,response_keyboard_single,168.9000000357628,,,continue,1,1,0,0,,,,,,training,,
21,1632180453210,20/09/2021 23:27:33,1632180452858,-4,20/09/2021 19:27:32,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,195182.90000003576,,,event,1,1,0,0,,,,,,training,,
22,1632180532802,20/09/2021 23:28:52,1632180532698,-4,20/09/2021 19:28:52,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,275021.10000002384,,,event,2,1,0,0,,,,,,training,,
23,1632180556045,20/09/2021 23:29:16,1632180555956,-4,20/09/2021 19:29:15,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,298277.40000003576,,,event,3,1,0,0,,,,,,training,,
24,1632180613127,20/09/2021 23:30:13,1632180613041,-4,20/09/2021 19:30:13,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,355361.40000003576,,,event,4,1,0,0,,,,,,training,,
25,1632180663836,20/09/2021 23:31:03,1632180663755,-4,20/09/2021 19:31:03,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,406073.1999999881,,,event,5,1,0,0,,,,,,training,,
26,1632180679030,20/09/2021 23:31:19,1632180678939,-4,20/09/2021 19:31:18,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,421256.60000002384,,,event,6,1,0,0,,,,,,training,,
27,1632180683915,20/09/2021 23:31:23,1632180683835,-4,20/09/2021 19:31:23,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,426153.6999999881,,,event,7,1,0,0,,,,,,training,,
28,1632180694263,20/09/2021 23:31:34,1632180694192,-4,20/09/2021 19:31:34,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,436509.8000000119,,,event,8,1,0,0,,,,,,training,,
29,1632180785787,20/09/2021 23:33:05,1632180785697,-4,20/09/2021 19:33:05,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,528012,,,event,9,1,0,0,,,,,,training,,
30,1632180838624,20/09/2021 23:33:58,1632180838532,-4,20/09/2021 19:33:58,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,580845.6999999881,,,event,10,1,0,0,,,,,,training,,
31,1632180857769,20/09/2021 23:34:17,1632180857675,-4,20/09/2021 19:34:17,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,Zone1,timelimit_screen,599992.8659999999,,,,,0,1,0,,,1,,,training,,
32,1632180862510,20/09/2021 23:34:22,1632180862428,-4,20/09/2021 19:34:22,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,28,Ending_Question,content,content_video,4737.300000011921,,,,,0,1,0,,,,,,training,,
33,1632180865691,20/09/2021 23:34:25,1632180865609,-4,20/09/2021 19:34:25,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,29,Ending_Question_2,Zone1,response_button_text,3147.600000023842,,,Yes,1,0,1,0,,,,,,training,,
34,1632180872535,20/09/2021 23:34:32,1632180872436,-4,20/09/2021 19:34:32,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,30,End_1,content,content_video,6818.599999964237,,,,,0,1,0,,,,,,training,,
35,1632180872956,20/09/2021 23:34:32,1632180872865,-4,20/09/2021 19:34:32,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,31,End_2,advancementZone,response_keyboard_single,238.70000004768372,,,end,1,1,0,0,,,,,,training,,
36,1632180873180,20/09/2021 23:34:33,1632180872870,-4,20/09/2021 19:34:32,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,,,END TASK,,,,,827686,,,,,0,1,0,,,,,,,,
1,1632590085834,25/09/2021 17:14:45,1632590085744,-4,25/09/2021 13:14:45,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1632590101821,25/09/2021 17:15:01,1632590101730,-4,25/09/2021 13:15:01,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,1,Screen_1,content,content_video,10606.199999988079,,,,,0,1,0,,,,,,instructions,,
3,1632590102414,25/09/2021 17:15:02,1632590101924,-4,25/09/2021 13:15:01,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,2,Screen_2,button1,response_keyboard,180.5,,,sound_on,1,1,0,0,,,,,,instructions,,
4,1632590114299,25/09/2021 17:15:14,1632590114236,-4,25/09/2021 13:15:14,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,3,Screen_3,content,content_video,12303,,,,,0,1,0,,,,,,instructions,,
5,1632590114439,25/09/2021 17:15:14,1632590114263,-4,25/09/2021 13:15:14,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,4,Screen_4,advancementZone,response_keyboard_single,15.800000011920929,,,continue,1,1,0,0,,,,,,instructions,,
6,1632590136641,25/09/2021 17:15:36,1632590136581,-4,25/09/2021 13:15:36,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,5,Screen_5,content,content_video,22312.19999998808,,,,,0,1,0,,,,,,instructions,,
7,1632590137478,25/09/2021 17:15:37,1632590137443,-4,25/09/2021 13:15:37,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,6,Screen_6,advancementZone,response_keyboard_single,848.9000000059605,,,continue,1,1,0,0,,,,,,instructions,,
8,1632590144935,25/09/2021 17:15:44,1632590144869,-4,25/09/2021 13:15:44,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,7,Screen_7,content,content_video,7420.4000000059605,,,,,0,1,0,,,,,,instructions,,
9,1632590145263,25/09/2021 17:15:45,1632590145026,-4,25/09/2021 13:15:45,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,8,Screen_8,advancementZone,response_keyboard_single,147.30000001192093,,,continue,1,1,0,0,,,,,,instructions,,
10,1632590192166,25/09/2021 17:16:32,1632590192031,-4,25/09/2021 13:16:32,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,1,Screen_1,Zone1,timelimit_screen,46999.416,,,,,0,1,0,,,1,,,training_intro,,
11,1632590206387,25/09/2021 17:16:46,1632590206356,-4,25/09/2021 13:16:46,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,2,Screen_2,content,content_video,14313.5,,,,,0,1,0,,,,,,training_intro,,
12,1632590207101,25/09/2021 17:16:47,1632590207015,-4,25/09/2021 13:16:47,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,3,Screen_3,advancementZone,response_keyboard_single,646.3999999761581,,,continue,1,1,0,0,,,,,,training_intro,,
13,1632590220143,25/09/2021 17:17:00,1632590219984,-4,25/09/2021 13:16:59,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,4,Screen_4,content,content_video,12961.59999999404,,,,,0,1,0,,,,,,training_intro,,
14,1632590220449,25/09/2021 17:17:00,1632590220369,-4,25/09/2021 13:17:00,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,5,Screen_5,advancementZone,response_keyboard_single,369.59999999403954,,,continue,1,1,0,0,,,,,,training_intro,,
15,1632590265192,25/09/2021 17:17:45,1632590265064,-4,25/09/2021 13:17:45,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,1,train_2_1_1,content,content_video,44669.29999998212,,,,,0,1,0,,,,,,training,,
16,1632590265913,25/09/2021 17:17:45,1632590265808,-4,25/09/2021 13:17:45,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,4,train_2_2_1,advancementZone,response_keyboard_single,712.5,,,found_event,1,1,0,0,,,,,,training,,
17,1632590277300,25/09/2021 17:17:57,1632590277268,-4,25/09/2021 13:17:57,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,23,Success,content,content_video,11451,,,,,0,1,0,,,,,,training,,
18,1632590278423,25/09/2021 17:17:58,1632590278110,-4,25/09/2021 13:17:58,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,24,Success_2,advancementZone,response_keyboard_single,823.8999999761581,,,continue_experiment,1,1,0,0,,,,,,training,,
19,1632590297872,25/09/2021 17:18:17,1632590297834,-4,25/09/2021 13:18:17,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,25,Instructions_3_1,content,content_video,19715.69999998808,,,,,0,1,0,,,,,,training,,
20,1632590300475,25/09/2021 17:18:20,1632590300345,-4,25/09/2021 13:18:20,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,26,Instructions_3_2,Zone1,response_keyboard_single,2495.9000000059605,,,continue,1,1,0,0,,,,,,training,,
21,1632590586294,25/09/2021 17:23:06,1632590585982,-4,25/09/2021 13:23:05,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,285622.10000002384,,,event,1,1,0,0,,,,,,training,,
22,1632590609395,25/09/2021 17:23:29,1632590609323,-4,25/09/2021 13:23:29,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,308987.40000000596,,,event,2,1,0,0,,,,,,training,,
23,1632590717210,25/09/2021 17:25:17,1632590717131,-4,25/09/2021 13:25:17,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,416811.5,,,event,3,1,0,0,,,,,,training,,
24,1632590732322,25/09/2021 17:25:32,1632590732273,-4,25/09/2021 13:25:32,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,431952.5,,,event,4,1,0,0,,,,,,training,,
25,1632590737196,25/09/2021 17:25:37,1632590737132,-4,25/09/2021 13:25:37,61650,4,task-yi9p,,15986034,53y9i6u9,4726391,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 93.0.4577.63,1440x900,1440x733,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,3,1,27,Desc_Me,advancementZone,response_keyboard_single,436811.90000000596,,,event,5,1,0,0,,,,,,training,,
