Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-d1mn,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,,ANSWER
1,1632180045415,20/09/2021 23:20:45,1632180045184,-4,20/09/2021 19:20:45,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x707,,Instructions_and_training,13,older than 11 years,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1632180062428,20/09/2021 23:21:02,1632180062240,-4,20/09/2021 19:21:02,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x707,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,1,Screen_1,content,content_video,10618.399999976158,,,,,0,1,0,,,,,,instructions,,
3,1632180065851,20/09/2021 23:21:05,1632180065668,-4,20/09/2021 19:21:05,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x707,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,2,Screen_2,button1,response_keyboard,3404.2999999523163,,,sound_on,1,1,0,0,,,,,,instructions,,
4,1632180078130,20/09/2021 23:21:18,1632180077934,-4,20/09/2021 19:21:17,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,3,Screen_3,content,content_video,12250.299999952316,,,,,0,1,0,,,,,,instructions,,
5,1632180081585,20/09/2021 23:21:21,1632180081407,-4,20/09/2021 19:21:21,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,4,Screen_4,advancementZone,response_keyboard_single,3456.300000011921,,,continue,1,1,0,0,,,,,,instructions,,
6,1632180103873,20/09/2021 23:21:43,1632180103701,-4,20/09/2021 19:21:43,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,5,Screen_5,content,content_video,22278.399999976158,,,,,0,1,0,,,,,,instructions,,
7,1632180104751,20/09/2021 23:21:44,1632180104586,-4,20/09/2021 19:21:44,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,6,Screen_6,advancementZone,response_keyboard_single,872.1999999880791,,,continue,1,1,0,0,,,,,,instructions,,
8,1632180112160,20/09/2021 23:21:52,1632180111981,-4,20/09/2021 19:21:51,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,7,Screen_7,content,content_video,7377,,,,,0,1,0,,,,,,instructions,,
9,1632180112394,20/09/2021 23:21:52,1632180112227,-4,20/09/2021 19:21:52,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x732,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,1,1,8,Screen_8,advancementZone,response_keyboard_single,229.5,,,continue,1,1,0,0,,,,,,instructions,,
10,1632180159410,20/09/2021 23:22:39,1632180159226,-4,20/09/2021 19:22:39,61650,4,task-yi9p,,15882400,m36mzcjq,4699233,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x680,,Instructions_and_training,13,older than 11 years,Spreadsheet1,Spreadsheet1,2,1,1,Screen_1,Zone1,timelimit_screen,47000.962,,,,,0,1,0,,,1,,,training_intro,,
