Segment Number,Scene Title ,Start Time 2,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence
58,,184,03:04,03:07,230,"Anges rubs her eyes:""I like him. He's nice.""",shot 39,,Indoor,Agnes,Agnes,Agnes,Bedroom,close up,,yes,2,+
59,,188,03:08,03:08:50,235,"Edith closes her lamp:"" But scary.""",shot 40,,Indoor,Edith,Edith,Edith,Bedroom,close up,,yes,1,-
60,,189,03:09,03:11,236,"Anges:"" Like Santa!""",shot 41,,Indoor,Agnes,Agnes,Agnes,Bedroom,close up,,yes,2,+
61,,191,03:11,03:14,239,Anges closes her lamp and sleep,shot 42,,Indoor,"Anges, Edith, Margo",Agnes,not apply,Bedroom,long,,yes,1,+
62,talking with Dr. Nefario,195,03:15,03:21,244,Gru walks in the hall way,shot 43,5. talking with Dr. Nefario in the hallway,Indoor,Gru,Gru,not apply,hallway,long,,yes,2,-
63,,202,03:22,03:27,253,A camera angle shift from top to bottom about the description of the Gru family tree to the drawing of three girls,shot 44,,Indoor,not apply,not apply,not apply,hallway,close up,,yes,1,-
64,,208,03:28,03:35,260,"Gru picks up the toys. Dr. Neferio cames in:""Only 48 hours till the launch,and all systems are go.""",shot 45,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Dr. Neferio,hallway,medium,,no,2,+
65,,215,03:35,03:36,269,"Gru:"" Ahhhhh""",Shot 46,,Indoor,Gru,Gru,Gru,hallway,medium,,yes,2,-
66,,217,03:37,03:38,271,"Gru picks up the toys Gru:"" About that...""",shot 47,,Indoor,not apply,not apply,Gru,hallway,close up,,no,1,0
67,,218,03:38,03:42,273,"Gru talks to Dr. Neferio:""I was thinking that maybe we could move the date of the heist.""",shot 48,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,Medium,,no,2,-
68,,222,03:42,03:49,278,"Dr. Neferio:""Please tell me this is not as a result of the girls' dance recital, is it?""",,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Dr. Neferio,hallway,medium,,no,2,-
69,,229,03:49,03:50,286,"Gru:""No, no, no!""",,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,Medium,,no,2,-
70,,230,03:50,03:54,288,"Gru:""The recital? Don't...That's stupid!""",,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,Medium,,no,2,-
71,,234,03:54,03:59,293,"Gru:""I iust think it's kind of weird to do it on a Saturday.""",,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,Medium,,no,2,-
72,,239,03:59,04:04,299,"Gru:""I was thinking, maybe a heist is a Tuesday thing, right?""",,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,Medium,,no,2,-
73,,244,04:04,04:09,305,"Dr. Neferio talks to Gru:""Gru, you and I have been working on this for years.""",shot 49,,Indoor,Dr. Neferio,Dr. Neferio,Dr. Neferio,hallway,close up,,yes,3,-
74,,249,04:09,04:11,311,"Dr. Neferio talks to Gru:""It's everything we've dreamed of.""",,,Indoor,Dr. Neferio,Dr. Neferio,Dr. Neferio,hallway,close up,,yes,4,-
75,,251,04:11,04:12,314,"Dr. Neferio talks to Gru:""Your chance to make history,""",,,Indoor,Dr. Neferio,Dr. Neferio,Dr. Neferio,hallway,close up,,yes,5,-
76,,252,04:12,04:16,315,"Gru holds a doll. Dr Neferio:""become the man who stole the moon!""",shot 50,,Indoor,Gru,Gru,Dr. Neferio,hallway,close up,,yes,5,-
77,,256,04:16,04:22,320,"Dr. Neferio is angry:""But these girls are becoming a major distraction! They need to go.""",,,Indoor,Dr. Neferio,Dr. Neferio,Dr. Neferio,hallway,close up,,yes,5,-
78,,262,04:22,04:27,328,"Dr. Neferio talks to Gru(he is holding a doll):""If you don't do something about it, then I will.""",shot 51,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Dr. Neferio,hallway,medium,,yes,5,-
79,,267,04:27,04:32,334,"Gru replys:"" I understand."" Then, he truns away and goes. ",shot 52,,Indoor,"Gru, Dr. Neferio","Gru, Dr. Neferio",Gru,hallway,medium,,yes,4,-
80,,272,04:32,04:34,340,"a camera shift from close to medium of Dr, Neferio:"" Good""",shot 53,,Indoor,Dr. Neferio,Dr. Neferio,Dr. Neferio,hallway,close up to medium,,yes,3,-
81,minions are playing with printer,274,04:34,04:44,343,"Stuart and Jerry waits for printing images. When they see the image, they laugh out loud.",shot 54,6. In the lab---minions are playing with printer,Indoor,"Stuart, Jerry","Stuart, Jerry",Stuart and Jerry,lab,medium,,no,3,+
82,,284,04:44,04:50,355,"Stuart, Jerry and Mark is still laughing at the image, but there is a machine suddenly cames out.",shot 55,,Indoor,"Stuart, Jerry, Mark","Stuart, Jerry, Mark","Stuart and Jerry, Mark",lab,long,,yes,5,-
83,Gru plays with the kids,290,04:50,04:58,363,"Stuart, Jerry, and Mark pauses their laugh. when the printer print the new image, they start to laugh again",,7. in the living room--Gru plays with the kids,Indoor,"Stuart, Jerry, Mark","Stuart, Jerry, Mark","Stuart and Jerry, Mark",lab,long,,no,4,+
84,,299,04:59,05:04,374,"camera shift from window to Gru. Gru:""All right. Now, when we put our cups together, we will make the ""clink"" sound with our mouths.""",shot 56,,Indoor,"Gru, Edith, Agnes, Margo,Mark",Gru,Gru,living room,long,,yes,2,+
85,,304,05:04,05:06,380,"Gru holds a cup and clink with Edith:""Ready? Edith?""",,,Indoor,"Gru, Edith, Agnes, Margo,Mark","Gru, Edith",Gru,living room,long,,yes,2,+
86,,306,05:06,05:08,383,"Gru clink with Edith:"" Clink.There we go."" Edith:"" Clink.""",,,Indoor,"Gru, Edith, Agnes, Margo,Mark","Gru, Edith","Gru,Edith",living room,long,,yes,2,+
87,,308,05:08,05:13,385,"Gru clink with Agnes:""And Agnes? Clink."" Agnes:"" Clink."" Gru:""very, good.""",,,Indoor,"Gru, Edith, Agnes, Margo,Mark","Gru, Agnes","Gru,Agnes",living room,long,,yes,2,+
