Segment Number,Scene Title ,Start Time 2,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence
123,,420,07:00,07:02,525,Margo is covered by a box.,shot 91,,indoor,Margo,Margo,Not apply,outside,close up,,yes,2,-
124,,422,07:02,07:05,528,all of the girsl stands outside and covered by boxes,shot 92,,indoor,"Margo,Edith, Anges","Margo, Edith, Agnes",Not apply,outside,long,,yes,2,-
125,,425,07:05,07:08,531,Gru lies on the bed and feel something,shot 93,,indoor,Gru,Gru,not apply,Bedroom,long,,yes,2,-
126,,428,07:08,07:09,535,Gru sits up,shot 94,,indoor,Gru,Gru,not apply,Bedroom,medium,,yes,3,-
127,,430,07:10,07:11,538,A toy comes out,shot 95,,indoor,not apply,not apply,not apply,Bedroom,close up,,yes,1,-
128,,431,07:11,07:13,539,"Gru is surprised by the toy:""Ahhhh""",shot 96,,indoor,Gru,Gru,Gru,Bedroom,Medium,,yes,5,-
129,,433,07:13,07:14,541,The birds on the roof of Gru's house scared off,shot 97,,outdoor,bird,bird,bird,outside,long,,yes,5,-
130,Lauching to the moon,434,07:14,07:19,543,minions are working,shot 98,9. to the space--Lauching to the moon,indoor,minions,minions,minions,lab,long,,no,4,+
131,,439,07:19,07:24,549,Gru comes out from the door,shot 99,,indoor,Gru,Gru,not apply,lab,long to medium,,yes,3,-
132,,444,07:24,07:32,555,Camera shifts from feet to Gru's head,shot 100,,indoor,Gru,Gru,not apply,lab,close up,,yes,4,-
133,,452.2,07:32:20,07:32:50,565,A strong light comes out,shot 101,,indoor,not apply,not apply,not apply,lab,close up,,yes,5,+
134,,453.1,07:33:10,07:33:50,566,the light points to the aircraft,shot 102,,indoor,not apply,not apply,not apply,lab,long,,yes,4,+
135,,454,07:34,07:40,568,camera shifts from bottom to top of the aircraft,shot 103,,indoor,not apply,not apply,not apply,lab,close up,,yes,4,+
136,,460,07:40,07:42,575,Little Gru watches the moon,shot 104,,indoor,Gru,Gru,not apply,lab,close up,,yes,3,+
137,,462,07:42,07:45,578,Gru watch the moon,shot 105,,indoor,Gru,Gru,not apply,lab,close up,,yes,3,+
138,,465,07:45,07:49,581,"Minions stands on the lifting platform, and the platform starts to rise",shot 106,,indoor,minion,minion,not apply,platform,close up,,yes,2,+
139,,469,07:49,07:52,586,Platform is rising,shot 107,,indoor,"Gru, Minion","Gru, Minion",not apply,platform,long,,yes,2,+
140,,472,07:52,07:55,590,minion gives the tickets to Gru,shot 108,,indoor,"Gru, Minion","Gru, Minion",not apply,platform,medium,,yes,2,+
141,,475,07:55,07:55:40,594,"Grus holds the tickets and ask minion:"" what does the ",shot 109,,indoor,Gru,Gru,Gru,platform,medium,,yes,2,-
142,,476,07:56,07:57,595,"Minion watches Gru:"" Recital.""",shot 110,,indoor,minion,minion,minion,platform,close up,,yes,2,+
143,,477,07:57,08:04,596,"Gru throws the ticket away:"" the recital? I am the greatest criminal mind in century. I don't go girls' recital.""",shot 111,,indoor,Gru,Gru,Gru,platform,medium,,yes,3,-
144,,484,08:04,08:07,605,Minion catches the tickets and put it into Gru's pocket,shot 112,,indoor,minion,minion,not apply,platform,medium,,yes,2,-
145,,488,08:08,08:09,610,a close shot of the pocket and the ticket,shot 113,,indoor,not apply,not apply,not apply,platform,close up,,yes,1,+
146,,490,08:10,08:14,613,Gru walk towards in aircraft,shot 114,,indoor,"Gru, minion",Gru,not apply,platform,long,,yes,1,+
147,,494,08:14,08:19,618,Gru sits on the seat and wears on seat belt,shot 115,,indoor,Gru,Gru,not apply,aircraft,medium,,yes,2,+
148,,499,08:19,08:19:50,624,a close shot on seat belt,shot 116,,indoor,not apply,not apply,not apply,aricraft,close up,,yes,1,0
149,,500,08:20,08:20:40,625,Gru closes the cover,shot 117,,indoor,not apply,not apply,not apply,aricraft,long,,yes,1,0
150,,501,08:21,08:22,626,minion cleans the window of the aircraft,shot 118,,outdoor,minion,minion,not apply,aircraft,close up,,yes,2,+
151,,502,08:22,08:27,628,Gru turns the video on,shot 119,,indoor,Gru,Gru,not apply,aircraft,medium,,yes,1,+
152,,507,08:27,08:30,634,"Dr. Nefario tells Gru:""Opening launch bay doors. Commencing launch sequence.""",shot 120,,indoor,Dr. Nefario,Dr. Neferio,Dr. Neferio,aircraft,close up,,yes,2,+
153,,510,08:30,08:32,638,"Gru opens the gate. Dr. Nefario:""And we are good to go..""",shot 121,,indoor,Gru,Gru,Dr. Neferio,aircraft,medium,,yes,2,+
154,,512,08:32,08:35,640,The gate opens,shot 122,,indoor,Gru,Gru,not apply,lab,long,,yes,3,+
155,,515.2,08:35:20,8:36,644,Minions stands on the plaform.,shot 122,,indoor,minion,minion,not apply,lab,long,,yes,2,+
156,,516,8:36,8:36,645,minions runs away,shot 123,,indoor,minion,minion,not apply,lab,medium,,yes,2,+
157,,517,08:37,08:43,646,"A shot of the aircraft. Dr. Nefario:""Ten, nine, eight, seven,""",shot 124,,indoor,not apply,not apply,Dr. Neferio,lab,long,,yes,3,+
158,,523,08:43,08:43,654,"Dr. Nefario pushes a botton:"" six...""",shot 125,,indoor,Dr. Nefario,Dr. Neferio,Dr. Neferio,lab,medium,,yes,2,+
159,,524,08:44,08:46,655,someone wipes the table and the table starts to shake,shot 126,,outdoor,man,man,not apply,outside,close up,,no,2,-
160,,527,08:47,08:51,659,camera shift to the man's face and the man tries to find where the shake comes from.,shot 127,,outdoor,man,man,not apply,outside,medium,,no,3,-
161,,531,08:51,08:52,664,"the man is finding, the shape of the aircraft becomes bigger",shot 128,,outdoor,man,man,not apply,outside,long,,no,4,-
162,,532,08:52,08:56,665,the man sees the aircraft comes out,shot 129,,outdoor,aircraft,aircraft,not apply,outside,medium,,no,5,+
163,,536,08:56,08:58,670,"while the man is watching the aircraft, the bad guy comes out",shot 130,,outdoor,"man,bad guy","man, bad guy",not apply,outside,medium,,yes,4,-
164,,599,09:59,09:02,749,the bad guy shoots an octopus to the aircraft,shot 131,,outdoor,"man,bad guy","man, bad guy",not apply,outside,medium,,yes,3,-
165,,542,09:02,09:03,678,the octopus stick on the aircraft,shot 132,,outdoor,octopus,octopus,not apply,aircraft,close up,,yes,3,-
166,,544,09:04,09:05,680,a shot of the aircraft launching,shot 133,,outdoor,aircraft,aircraft,not apply,outside,long,,no,4,-
167,,546,09:06,09:07,683,a shot of the aircraft launching,shot 134,,outdoor,aircraft,aircraft,not apply,outside,medium to close up,,no,5,+
168,,547,09:07,09:10,684,the bad guy pulls up by the rope,shot 135,,outdoor,"man,bad guy","man, bad guy",not apply,outside,medium,,yes,4,-
169,,550,09:10,09:12,688,"the bad guy jumps on the aircraft:"" oh yeah!""",shot 136,,outdoor,bad guy,bad guy,bad guy,aircraft,long to close up,,yes,3,-
