Segment Number,TR,continuous time,Time (s),Segment details,,
1,59,47,0:47,The kids convinced their dad to read them a story. Their dad changed his mind because the kids threatened to bug him if he does not read them a story.  ,,
2,209,167,2:47,"The end of the story when the dad reached the part, 'your mommy loves you with all your heart.'",,
3,363,290,4:50,The scary noise interrupted the laughter moment. ,,
4,401,321,5:21,End of time the kids were bonding with the big guy,,
