Segment Number,TR,continuous time,Time (s),Segment details,,
,28,22,0:22,convincing to go to bed,,
,66,53,0:53,story negotiation,,
,214,171,2:51,reading bedtime story,,
,225,180,3:00,bedtime kisses,,
,245,196,3:16,kids reflecting,,
,260,208,3:28,man reflecting,,
,344,275,4:35,evil collaborator pep talk,,
,363,290,4:50,butt copies,,
,373,298,4:58,butt copies and robot arm,,
,394,315,5:15,tea party,,
,444,355,5:55,social worker,,
,486,389,6:29,goodbye gru,,
,505,404,6:44,lonely after girls leave,,
,514,411,6:51,solo dinner,,
,526,421,7:01,minions cleaning,,
,544,435,7:15,everyone on their own,,
,659,527,8:47,launch prep,,
,706,565,9:25,stowaway,,
,720,576,9:36,flight suit,,
,750,600,(end),launch finalization,,
