Segment Number,TR,continuous time ,Time (s),Segment details,,
1,56,45,0:45,Convincing for storytime,,
2,244,195,3:15,Bedtime story ,,
3,338,270,4:30,Plotting heist,,
4,374,299,4:59,Xerox butts,,
5,404,323,5:23,Tea time,,
6,508,406,6:46,Girls sent away,,
7,548,438,7:18,Sadness post departure,,
8,681,545,9:05,spacecraft launch,,
9,720,576,9:36,enemy destroyed,,
