Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
23,,87,91,109,"Gru looking tired with a wide-eyed Agnes on his shoulder, reading ""Mommy, we're not tired at all. Their mother smiled and said with a purr.""", ,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Girls' bedroom,Close,,N,3, +,,,,,,,
24,,92,95,115,"Picture book with Gru's thumb, depicting an adult pink cartoon cat and a little toy brush, Gru reading ""Fine, but at least you should brush your fur"".", ,,Indoor,-,-,Gru,Girls' bedroom,Close,"Their Mother smiled / and said with a purr, / ""Fine, but at least / you should brush your fur""",N,1, +,,,,,,,
25,,96,105,120,"Gru with the book, Edith beside him. ""Now you brush the fur,"" she says, pointing. Gru picks up the little brush from the page and brushes the head of one of the finger puppets. ""This is literature?"" he says meanwhile. ""A two-year-old could have written this"", he says, putting the book down and looking at Edith. ""Alright,"" he says, lifting the book.", ,,Indoor,"Gru, Edith",Gru,"Gru, Edith",Girls' bedroom,Close,,Y,2, +,,,,,,,
26,,105,118,131,"Slow pan of Gru sitting on the floor with the book, Agnes on his shoulder, Edith on the bed to his rigth and Margo on the floor to his left. ""Three little kittens with fur all brushed, said, we can't sleep, we feel too rushed. Their mother replied, with a voice like silk, fine, but at least you should drink your milk"".", ,,Indoor,"Gru, Edith, Agnes, Margo","Gru, Edith, Agnes, Margo",Gru,Girls' bedroom,"Long, frog",,Y,2, +,,,,,,,
27,,118,120,148,"Gru looking tired, Agnes pointing down and saying ""Now make them drink the milk""", ,,Indoor,"Gru, Agnes","Gru, Agnes",Agnes,Girls' bedroom,Close,,Y,2, +,,,,,,,
28,,121,124,151,"Close-up of a page in the picture book, the three kitten finger puppets bend down and touch a drawing of a bowl of milk, one after the other.", ,,Indoor,-,-,-,Girls' bedroom,Close,,Y,3, +,,,,,,,
29,,124,146,155,"Gru on the floor, the girls around him like before. Gru sighs and says: ""I dont like this book, this is going on forever"". Then he continues reading: ""Three little kittens with milk all gone, rubbed their eyes and started to yawn."" Agnes yawns, then Edith and Margo, then Gru. Edith puts her head down and Margo takes of her glasses and changes positions so she is lying down. Gru continues reading: ""We can't sleep, we can't even try. Then their mother sang a lullaby.""", ,,Indoor,"Gru, Edith, Agnes, Margo",Gru,Gru,Girls' bedroom,Long,,Y,3, +,,,,,,,
30,,147,165,184,"Gru, with Agnes on his shoulder with closed eyes. Edith with closed eyes hanging out of the bed beside him. He turns the page and reads: ""Goodnight kittens, close your eyes. Sleep in peace until you rise. Though while you sleep, we are apart, your mommy loves you with all her heart."" While reading the last part, he furrows his brow and looks off-screen. He continues to look out/away for a few seconds.", ,,Indoor,"Gru, Edith, Agnes",Gru,Gru,Girls' bedroom,Medium,,Y,2,-,,,,,,,
31,Exit - girls alone,165,169,206,"Gru closes the book quickly, saying loudly: ""The end! Okay, goodnight!"" as he rapidly gets up and walks out. The girls all startle awake and get up on their elbows. ""Wait!"", Agnes yells after him.", ,5. Leaving the girls,Indoor,"Gru, Edith, Agnes, Margo","Gru, Agnes","Gru, Agnes",Girls' bedroom,Long,,N,3,-,,,,,,,
32,,170,171,213,"With his hand on the handle of the open door, Gru turns and says: ""What?""",  ,,Indoor,"Gru, Edith, Agnes, Margo",Gru,Gru,Girls' bedroom,Long,,N,3,-,,,,,,,
