Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
,30,102,1:42,1:45,128,24,Gru expresses his dislike one more time,,Indoor,"Gru, Edith","Gru, Edith","Gru: ""This is literature? A 2 year old could have written this. Alright.""",Bedroom,short,no,yes,3,+,,,,,,,
,31,106,1:46,1:58,133,25,Gru continues reading,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""3 little kittens with fur all brushes, 'We can't sleep, we feel too rushed!"" Their mother replied with a voice like silk, 'Fine, but you should drink your milk'."" ",Bedroom,medium,no,yes,2,+,,,,,,,
,32,119,1:59,2:01,149,26,Agnes tells Gru to make the puppets to drink the milk,,Indoor,"Gru, Agnes","Gru, Agnes","Agnes: ""Now make them drink the milk.""",Bedroom,short,no,yes,2,+,,,,,,,
,33,122,2:02,2:04,153,27,"Gru makes the puppets dip to drink the ""milk"" from the book",,Indoor,N/A,N/A,N/A,Bedroom,short,yes,yes,2,+,,,,,,,
,34,125,2:05,2:09,156,28,Gru expresses his dislike for the book again,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""Ugh, I don't like this book. This is going on forever."" ",Bedroom,medium,no,yes,2,+,,,,,,,
,35,130,2:10,2:14,163,28,Gru continues reading,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""3 little kittens, with milk all gone, rubbed their eyes and started to yawn.""",Bedroom,medium,no,yes,2,+,,,,,,,
,36,135,2:15,2:21,169,28,Everyone yawns in succession,,Indoor,"Gru, Edith, Margo, Agnes","Gru, Edith, Margo, Agnes",N/A,Bedroom,medium,no,yes,1,+,,,,,,,
,37,142,2:22,2:27,178,28,Gru continues reading,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""We can't sleep! We can't even try. Then theirm other sang a lullaby.""",Bedroom,medium,no,yes,1,+,,,,,,,
,38,148,2:28,2:38,185,29,Gru continues reading,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""Good night kittens, close your eyes, sleep in peace until you rise. Though while you sleep, we are apart. Your mommy...""",Bedroom,short,no,yes,1,+,,,,,,,
,39,159,2:39,2:45,199,29,"Gru says ""Your mommy loves you with all her heart""",,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""...loves you with all her heart.""",Bedroom,short,no,yes,2,+,,,,,,,
