Segment Number,TR,Time (s),Segment details,,
,260,3:28 (208 s),bedtime story,,
,336,4:29 (269 s),attempt for rescheduling the laucnh and heist,,
,371,4:57 (297 s),Minions playing with the copy machine,,
,401,5:21 (321 s),playing with the kids,,
,500,6:40 (400 s),kids left,,
,540,7:12 (432 s),he missed the kids,,
,581,7:45 (465 s),he saw the missile and he remembered his chiildhood memory ,,
,746,9:57 (597 s),the launch,,
